Cup of Russia 2005,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,
Total,Total,,Total,Total
Rank Name NOC Segment,Element,,Program  Component,Deductions
Code Score,Score,,Score (factored),
Rank Name NOC Segment,Element,,Program  Component,Deductions
Code Score,Score,,Score (factored),
"=",+,,+,-
11 Kristoffer BERNTSSON SWE 100.80,46.70,,55.10,1.00
"# Executed Base GOE The Judges Panel",,,,Scores
Elements Value (in random order),,,,of Panel
1 2A 3.3 -1.54 -2 -2 -3 -2 -2,-1 -2 -3,,-2 -1 - -,1.76
2 3F+3T 9.5 -1.80 -3 -2 -2 -1 -2,-1 -2 -2,,-2 -1 - -,7.70
3 3Lz+2T 7.3 -1.80 -2 -1 -2 -2 -2,-1 -2 -2,,-2 -1 - -,5.50
4 CUSp2 1.7 0.00 -1 1 0 0 0,0 0 0,,0 0 - -,1.70
5 CiSt1 1.8 0.00 0 0 1 0 -1,0 0 0,,0 0 - -,1.80
6 CCoSp2 2.5 0.00 0 1 0 0 0,0 0 0,,0 0 - -,2.50
7 2A+COMBO 3.6x -1.54 -2 -2 -3 -2 -2,-2 -2 -3,,-2 -2 - -,2.06
8 3F 6.1x -3.00 -3 -3 -3 -3 -3,-3 -3 -3,,-3 -3 - -,3.10
9 3Lo 5.5x 0.00 0 0 0 0 0,0 0 0,,0 0 - -,5.50
10 FSSp3 2.3 0.00 0 0 0 0 0,0 -1 0,,0 0 - -,2.30
11 3S 5.0x -0.20 -2 1 0 0 -1,0 0 0,,-1 0 - -,4.80
12 SlSt2 2.3 0.00 0 0 1 0 -1,0 0 0,,0 0 - -,2.30
13 2A 3.6x 0.20 0 0 1 0 0,0 0 1,,0 0 - -,3.80
14 CCoSp1 2.0 -0.12 0 1 0 0 -1,0 0 -1,,-1 0 - -,1.88
56.5,,,,46.70
Program Components Factor,,,,
Skating Skills 2.00 5.50 6.00 6.00 5.50 5.50 5.75,6.00 5.50,,5.50 5.50 - -,5.65
Transition / Linking Footwork 2.00 4.75 5.50 5.75 5.25 4.75 5.25,5.50 5.25,,5.25 5.75 - -,5.30
Performance / Execution 2.00 4.50 5.50 5.75 5.50 5.00 5.25,5.50 5.25,,5.75 5.25 - -,5.45
Choreography / Composition 2.00 4.50 5.25 6.00 5.50 5.25 5.50,5.50 5.75,,5.75 5.25 - -,5.55
Interpretation 2.00 4.75 5.50 6.00 5.50 4.75 5.50,5.75 5.75,,5.75 5.25 - -,5.60
Judges Total Program Component Score (factored),,,,55.10
Deductions: Falls: -1.00,,,,-1.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,
Total,Total,,Total,Total
Rank Name NOC Segment,Element,,Program  Component,Deductions
Code Score,Score,,Score (factored),
"=",+,,+,-
12 Song GAO CHN 87.78,39.78,,48.00,0.00
"# Executed Base GOE The Judges Panel",,,,Scores
Elements Value (in random order),,,,of Panel
1 2T 1.3 -0.06 0 0 0 0 0,0 0 -1,,-1 0 - -,1.24
2 1A 0.8 0.00 0 0 0 0 0,0 0 -1,,0 0 - -,0.80
3 FSSp3 2.3 -0.12 0 -1 -1 0 0,0 0 0,,-1 0 - -,2.18
