Cup of Russia,,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,,Total Total,,,Total,Total
NOC,,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
Code,,,Score Score,,,Score (factored),
5 3Lz+2T  7.30  0.60 1 1 0,,0,1 0 1 0,,0 1 - -,7.90
6 CiSt2  2.30  0.10 0 1 0,,-1,0 0 1 1,,0 0 - -,2.40
7 3Lo  5.50 x  0.40 1 0 0,,1,1 0 1 0,,0 1 - -,5.90
8 3F+2T  7.48 x  0.00 1 0 0,,0,0 0 0 -1,,0 0 - -,7.48
9 3S  4.95 x  0.40 1 0 0,,1,1 0 1 0,,0 1 - -,5.35
10 FCSp2  2.00  0.00 0 0 -1,,0,0 0 0 0,,0 0 - -,2.00
11 CSSp2  2.00  0.00 0 0 0,,0,0 0 0 0,,-1 0 - -,2.00
12 2A  3.85 x  0.40 1 0 1,,1,1 0 1 0,,0 0 - -,4.25
13 SlSt1  1.80  0.00 0 0 0,,0,-1 0 0 -1,,-1 0 - -,1.80
14 CCoSp2  2.50 -0.06 0 0 -1,,0,0 0 0 0,,-1 0 - -,2.44
56.78,,,,,,56.50
Program Components Factor,,,,,,
Skating Skills  2.00 6.75 6.75 6.50,,6.50,6.50 6.50 6.50 6.50,,6.50 6.50 - -,6.55
Transition / Linking Footwork  2.00 6.25 6.00 6.25,,6.25,6.25 5.50 5.75 6.25,,6.00 6.50 - -,6.05
Performance / Execution  2.00 6.50 6.50 6.25,,6.75,6.50 6.00 6.25 6.25,,6.50 6.75 - -,6.40
Choreography / Composition  2.00 6.25 6.50 6.50,,6.50,6.50 6.00 6.00 6.25,,6.25 7.00 - -,6.30
Interpretation  2.00 6.25 6.50 6.50,,6.75,6.50 6.00 6.25 6.50,,6.25 6.75 - -,6.35
Judges Total Program Component Score (factored),,,,,,63.30
Deductions:,,,,,,0.00
"e  Jump take off with wrong edge x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,
Cup of Russia,,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,,Total Total,,,Total,Total
NOC,,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
Code,,,Score Score,,,Score (factored),
"",,,= +,,,+,-
11 Ming XU CHN,,,103.02  51.72,,,52.30,1.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 1A  0.80  0.00 0 0 0,,0,0 0 1 0,,0,0 - -,0.80
2 3A  7.50 -3.00 -3 -3 -3,,-3,-3 -3 -3 -3,,-3,-3 - -,4.50
3 3F e  5.50 -1.40 -1 -2 -1,,-2,-1 -1 -2 -1,,-2,-1 - -,4.10
4 FSSp2  2.00  0.00 0 0 0,,0,0 0 -1 0,,0,0 - -,2.00
