ISU GP Internationaux de France de Patinage 2017,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,
Starting Total,,Total,Total,Total,
Rank Name Nation Number Segment,,Element,Program  Component,Deductions,
7 CCoSp4  3.50  0.79 2 2 2 1 1,,2 2,1 1,4.29,
37.30,,,,31.56,
Program Components Factor,,,,,
Skating Skills  1.00 6.75 7.25 6.75 6.50 7.50,,7.75 7.25,7.00 7.00,7.07,
Transitions  1.00 6.75 6.75 6.00 5.75 6.50,,7.50 7.00,6.25 6.75,6.57,
Performance  1.00 6.25 7.50 6.00 6.25 7.00,,7.50 7.25,6.50 6.75,6.79,
Composition  1.00 6.75 7.50 6.50 6.50 6.75,,7.75 7.25,6.50 6.75,6.86,
Interpretation of the Music  1.00 6.75 7.50 6.50 6.50 7.00,,7.75 7.25,6.75 7.00,6.96,
Judges Total Program Component Score (factored),,,,34.25,
Deductions Falls: -2.00(2),,,,-2.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,
printed: 17/11/2017 21:38:37,,,,,
