ISU GP NHK Trophy 2016,,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
"",Starting Total,,Total,Total,Total,
Rank Name,Nation Number Segment,,Element,Program  Component,Deductions,
Performance  1.00,8.00  7.25  8.25  8.75  7.75,,8.25  8.75,8.00  8.50,8.21,
Composition  1.00,8.25  7.50  8.50  9.00  9.00,,8.75  9.00,8.75  8.75,8.71,
Interpretation of the Music  1.00,8.25  7.50  8.25  9.00  9.25,,9.00  9.00,8.50  9.00,8.71,
Judges Total Program Component Score (factored),,,,,42.53,
Deductions,,,,,0.00,
"<<  Downgraded jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
ISU GP NHK Trophy 2016,,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
"",Starting Total,,Total,Total,Total,
Rank Name,Nation Number Segment,,Element,Program  Component,Deductions,
"",Score,,Score,Score (factored),,
9 Ryuju HINO,JPN  7  72.50,,37.82,34.68,0.00,
Executed Base,,,,,Scores of,
"# GOE",J1 J2 J3 J4 J5,,J6 J7,InfoJ8 J9 Ref,,Info
Elements Value,,,,,Panel,
1 3Lz+3T  10.30  0.50,0 0 1 1 1,,0 1,1 1,10.80,
2 3A  8.50  0.29,0 0 0 1 1,,0 0,0 1,8.79,
3 FCSp2  2.30  0.21,1 1 0 1 0,,0 0,1 0,2.51,
4 CCoSp4  3.50  0.07,0 0 0 0 1,,0 0,0 1,3.57,
5 3Lo  5.61 x -0.40,0 -2 0 0 -2,,0 -1,-1 0,5.21,
6 CSSp4  3.00  0.50,1 1 1 1 1,,0 1,1 1,3.50,
7 StSq3  3.30  0.14,0 0 0 1 1,,0 0,0 1,3.44,
36.51,,,,,37.82,
Program Components Factor,,,,,,
Skating Skills  1.00,6.75  7.25  7.25  7.00  7.50,,6.25  7.00,7.00  7.50,7.11,
Transitions  1.00,6.50  6.75  7.00  7.00  6.75,,6.00  5.50,7.00  7.25,6.71,
Performance  1.00,6.50  6.75  7.75  7.25  7.50,,6.00  6.50,7.25  7.50,7.04,
Composition  1.00,6.75  7.25  7.25  7.50  7.25,,6.25  6.50,6.75  7.25,7.00,
Interpretation of the Music  1.00,6.75  6.75  7.50  7.25  7.00,,6.00  6.25,6.50  7.25,6.82,
Judges Total Program Component Score (factored),,,,,34.68,
Deductions,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
"",Starting Total,,Total,Total,Total,
Rank Name,Nation Number Segment,,Element,Program  Component,Deductions,
"",Score,,Score,Score (factored),,
10 Deniss VASILJEVS,LAT  2  70.50,,33.82,36.68,0.00,
Executed Base,,,,,Scores of,
"# GOE",J1 J2 J3 J4 J5,,J6 J7,J8 J9 Ref,,
Elements Value,,,,,Panel,
1 3A  8.50  0.43,0 0 1 1 1,,1 0,0 0,8.93,
2 3Lz+2T  7.30  0.00,0 0 0 0 0,,0 0,-1 0,7.30,
3 CCoSp4  3.50  0.29,1 1 0 0 1,,-1 1,0 1,3.79,
4 3F< <  4.07 x -1.40,-1 -3 -2 -1 -1,,-3 -3,-2 -2,2.67,
5 StSq3  3.30  0.57,1 1 1 2 1,,1 1,2 1,3.87,
6 CCSp4  3.20  0.06,1 2 1 0 0,,-1 0,-1 -1,3.26,
7 FSSp4  3.00  1.00,2 2 2 2 2,,2 3,1 2,4.00,
32.87,,,,,33.82,
Program Components Factor,,,,,,
Skating Skills  1.00,8.00  7.50  7.25  7.50  7.25,,7.00  7.50,7.25  7.00,7.32,
Transitions  1.00,7.50  7.25  6.75  7.75  7.00,,6.75  7.75,7.00  6.50,7.14,
Performance  1.00,7.75  7.25  7.50  7.50  7.50,,7.00  8.25,7.75  7.25,7.50,
Composition  1.00,7.50  7.50  7.00  7.50  7.50,,7.00  7.50,7.00  7.50,7.36,
Interpretation of the Music  1.00,7.75  7.25  7.25  7.75  7.25,,7.00  7.50,7.25  7.25,7.36,
Judges Total Program Component Score (factored),,,,,36.68,
Deductions,,,,,0.00,
"<  Under-rotated jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
ISU GP NHK Trophy 2016,,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
"",Starting Total,,Total,Total,Total,
Rank Name,Nation Number Segment,,Element,Program  Component,Deductions,
"",Score,,Score,Score (factored),,
11 Grant HOCHSTEIN,USA  10  68.31,,33.64,35.67,1.00,
Executed Base,,,,,Scores of,
"# GOE",J1 J2 J3 J4 J5,,J6 J7,J8 J9 Ref,,Info
Elements Value,,,,,Panel,
1 4T  10.30 -4.00,-3 -3 -3 -3 -3,,-3 -3,-3 -3,6.30,
2 3A  8.50 -0.86,-1 -1 -1 0 -1,,0 -1,-1 -1,7.64,
3 CCSp3  2.80  0.50,1 1 1 1 1,,1 1,1 1,3.30,
4 FSSp4  3.00  0.36,1 0 1 1 0,,0 1,1 1,3.36,
5 3Lz+2T !  8.03 x -1.80,-2 -3 -3 -3 -2,,-3 -3,-2 -2,6.23,
6 StSq2  2.60  0.21,0 0 0 0 -1,,1 1,2 1,2.81,
7 CCoSp4  3.50  0.50,1 0 1 1 1,,1 1,1 1,4.00,
38.73,,,,,33.64,
Program Components Factor,,,,,,
Skating Skills  1.00,8.00  7.00  7.00  6.75  7.25,,7.25  6.75,7.50  7.25,7.14,
Transitions  1.00,7.50  6.75  7.00  6.75  7.50,,7.25  6.75,7.50  6.75,7.07,
Performance  1.00,7.50  6.50  7.25  7.00  6.25,,7.00  7.00,7.75  7.25,7.07,
Composition  1.00,7.75  6.75  7.00  7.00  7.50,,7.00  6.50,7.50  7.25,7.14,
Interpretation of the Music  1.00,7.75  6.75  6.75  7.00  7.75,,7.25  7.25,7.75  7.00,7.25,
Judges Total Program Component Score (factored),,,,,35.67,
Deductions Falls: -1.00(1),,,,,-1.00,
"x  Credit for highlight distribution, base value multiplied by 1.1!  Not clear edge",,,,,,
printed: 25.11.2016 20:36:07,,,,,,
