ISU GP Hilton HHonors Skate America 2011,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
12 ChSt1  2.00  0.20 0 0 1,,1 0 0 0,,0 1,2.20,
13 FCCoSp4  3.50  0.57 0 1 1,,2 0 1 1,,2 2,4.07,
64.00,,,,,56.87,
Program Components Factor,,,,,,
Skating Skills  2.00 6.50 5.50 6.25,,5.75 5.75 6.50 5.75,,6.50 6.25,6.11,
Transition / Linking Footwork  2.00 5.75 5.25 6.00,,5.50 5.25 7.00 5.50,,6.00 6.75,5.82,
Performance / Execution  2.00 6.25 5.00 5.75,,6.25 4.75 6.75 5.75,,6.00 6.00,5.86,
Choreography / Composition  2.00 6.25 5.50 6.25,,5.75 5.25 6.50 6.00,,6.00 6.50,6.04,
Interpretation  2.00 6.00 5.50 6.00,,6.25 5.00 6.50 6.00,,5.75 6.75,6.00,
Judges Total Program Component Score (factored),,,,,59.66,
Deductions: Falls: -2.00,,,,,-2.00,
"<  Under-rotated jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
Printed: 22.10.2011  1:18:46PM,,,,,,
