ISU World Figure Skating Championships 2008,,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,Total,,Total,
NOC,,Segment Element,,Program  Component,,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,Score (factored),,,
"",,= +,,+,,-,
1 Jeffrey BUTTLE CAN,,163.07  84.29,,78.78,,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
12 CiSt3  3.10  0.43 1 2 1,1,1 1 0 0,0,1 1 1,,3.53,
13 3S*+2T* *  0.00  0.00 - - -,-,- - - -,-,- - -,,0.00,
14 FCCoSp3  3.00  0.50 1 1 1,1,1 1 0 0,1,1 1 1,,3.50,
64.48,,,,,,66.77,
Program Components Factor,,,,,,,
Skating Skills  2.00 7.00 7.00 6.75,6.75,6.50 6.75 6.25 7.00,6.50,6.75 7.00 6.75,,6.86,
Transition / Linking Footwork  2.00 6.50 6.50 6.50,7.25,6.75 6.50 6.50 6.75,6.25,6.75 7.00 6.25,,6.61,
Performance / Execution  2.00 7.00 7.00 6.50,6.50,6.50 6.25 6.50 7.00,6.50,7.00 7.00 6.25,,6.75,
Choreography / Composition  2.00 7.25 6.75 6.75,6.50,6.75 6.50 6.25 6.75,6.50,6.75 7.00 6.75,,6.71,
Interpretation  2.00 7.50 7.25 6.75,7.00,6.25 7.00 6.50 6.75,6.25,6.75 7.25 6.50,,6.93,
Judges Total Program Component Score (factored),,,,,,67.72,
Deductions: Falls: -1.00,,,,,,-1.00,
"*  Invalid element e  Jump take off with wrong edge <  Downgraded jump",,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,
"",,Total Total,,Total,,Total,
NOC,,Segment Element,,Program  Component,,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,Score (factored),,,
"",,= +,,+,,-,
10 Jeremy ABBOTT USA,,131.65  67.45,,66.20,,2.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 4T  9.00  0.71 1 0 0,1,1 1 2 2,0,1 1 0,,9.71,
2 3A  7.50 -2.14 -3 -2 -2,-2,-2 -2 -2 -2,-3,-2 -2 -2,,5.36,
3 3F  5.50  0.14 0 0 0,0,0 0 0 0,-1,1 1 0,,5.64,
4 2A  3.50  1.00 1 1 1,1,2 1 1 1,0,1 1 1,,4.50,
5 CiSt3  3.10  0.50 1 1 1,2,2 1 1 1,1,1 1 0,,3.60,
6 CoSp4  3.00  0.36 1 1 0,1,1 1 1 0,0,0 1 1,,3.36,
7 3A+SEQ  6.60 x -3.00 -3 -3 -3,-3,-3 -3 -3 -3,-3,-3 -3 -3,,3.60,
8 CSSp3  2.30 -0.04 0 -1 0,0,0 0 -1 0,-1,0 0 0,,2.26,
9 3Lz+3T+2T  12.43 x -0.14 0 -1 -1,0,0 0 0 0,-1,0 0 0,,12.29,
10 CCoSp4  3.50  0.64 1 1 0,1,1 2 2 1,2,1 2 1,,4.14,
11 3Lo  5.50 x -0.29 -1 0 0,-1,0 0 0 0,0,0 0 -1,,5.21,
12 3S  4.95 x -3.00 -3 -3 -3,-3,-3 -3 -3 -3,-3,-3 -3 -3,,1.95,
13 FSSp3  2.30  0.07 1 0 0,0,1 0 1 0,0,0 0 1,,2.37,
14 SlSt3  3.10  0.36 2 0 1,1,2 1 1 1,0,1 1 0,,3.46,
72.28,,,,,,67.45,
Program Components Factor,,,,,,,
Skating Skills  2.00 6.50 6.00 6.75,6.50,6.75 7.00 6.75 7.00,6.50,6.50 6.50 6.50,,6.57,
